,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
8,4.255398321151733,0.1772931635024433,0.014469528198242187,0.001448466099744082,0.1,5,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-54.98778553338995,-58.32079952118472,-56.05632429555497,-51.43766826805411,-52.920409838633766,-54.74459749136351,2.4013508727824715,1
9,8.320869398117065,0.08804593725855897,0.019687938690185546,0.0022752916325701773,0.1,5,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-55.658696784370754,-59.35574525610062,-56.32871757935821,-51.67224641031315,-53.04641298737221,-55.21236380350299,2.67719415955845,2
10,9.338611745834351,1.0967328554867628,0.025134181976318358,0.005055015547536055,0.1,10,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-56.122769374190085,-59.56734825755403,-56.53481448974845,-51.68196968207521,-52.83690203828666,-55.348760768370894,2.8127240997369807,3
11,15.230249166488647,2.36514458711113,0.06479191780090332,0.032443111577876174,0.1,10,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-57.49832188898901,-61.20353643914584,-57.64476518790109,-54.12070633231362,-54.050297613326656,-56.90352549233525,2.656249423129581,4
7,1.9239009857177733,0.10658962891011008,0.014832496643066406,0.004857767770907374,0.1,1,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-59.674108829948246,-59.95395016953757,-57.737700349559496,-54.34714021302634,-53.704082074375904,-57.083396327289506,2.618657928368029,5
6,1.0728979110717773,0.22356248389715397,0.009853219985961914,0.0027034795812421243,0.1,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-59.99021172465535,-60.07370920667565,-58.164112589690404,-54.777621810097955,-54.33565985498932,-57.468263037221746,2.477318487157914,6
3,9.41925277709961,0.21535147014193762,0.02335834503173828,0.001459537817643058,0.01,5,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-66.13355490994212,-66.37748988126808,-60.950589550249,-59.54374221131402,-61.35599577839065,-62.872274466232774,2.8282003530825204,7
5,18.732535791397094,0.32802120325897266,0.05244522094726563,0.0070635944692030534,0.01,10,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-66.82427397151461,-66.51456067217103,-61.04604163058006,-59.88513470997718,-61.553014670237616,-63.1646051308961,2.913960861471943,8
1,1.9805442333221435,0.08793268908735122,0.016028833389282227,0.011512147089709284,0.01,1,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-69.0912203610777,-68.63816888442771,-62.82629283626423,-62.047318851106404,-64.92588350651167,-65.50577688787754,2.9032439659206775,9
2,4.887093830108642,0.1687995999970945,0.025156402587890626,0.008460372954295527,0.01,5,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-72.03957216169985,-72.63548710661469,-65.98654607908215,-66.09405215989679,-67.59122785052182,-68.86937707156305,2.894150308239578,10
