,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.1790815830230712,0.1298691795211476,0.008243179321289063,0.001213277386943012,0.1,1,750,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 750, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.6550928352941,-86.91701832806989,-109.66816476553916,-120.99211602129505,-106.9184382894574,-105.8301660479311,10.998974964524441,1
2,1.7960963726043702,0.03303974215588339,0.009726524353027344,0.0009392696778105436,0.1,1,1250,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 1250, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.93640833290627,-87.39129328919064,-109.8072051866626,-121.51710646601413,-106.36493139585292,-106.00338893412531,10.980197763187212,2
1,1.402923345565796,0.006872816634074226,0.010325098037719726,0.00043487775220616304,0.1,1,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.52352494467843,-87.9415403667013,-110.0266761083923,-121.31756086575949,-106.85550247975925,-106.13296095305816,10.768223861828773,3
7,1.4019997596740723,0.016499450049649752,0.00919804573059082,0.00022510191883064,0.5,1,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-110.41643764487736,-89.75000475793243,-109.39553742649626,-124.85824249068709,-111.32833047892419,-109.14971055978347,11.220677107297726,4
3,2.9495269775390627,0.14111042209186062,0.011443996429443359,0.0008271899338707713,0.1,3,750,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 750, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-107.88971933316842,-91.38216933805289,-115.19373652199138,-125.26594497938892,-109.49825133207392,-109.8459643009351,11.056527438270766,5
4,3.859692192077637,0.09035457870966554,0.013798999786376952,0.0018025204690416971,0.1,3,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-107.93621029872698,-92.14258921250195,-115.89581237762292,-126.05229020885204,-109.51825782578122,-110.30903198469703,11.093579622380355,6
5,4.8434265613555905,0.10798392673867668,0.014000797271728515,0.00039437672114158443,0.1,3,1250,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1250, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-107.93832793006743,-92.34827875479215,-116.9614302464643,-127.5785819836867,-109.492974966233,-110.86391877624871,11.574343233213158,7
6,1.0779091835021972,0.039206784763660414,0.008855867385864257,0.0009038561775242257,0.5,1,750,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 750, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-102.92075829079235,-92.35587450427062,-108.83752600778904,-130.9273119227529,-119.41147654008266,-110.8905894531375,13.306725371597045,8
8,1.777618646621704,0.045769291790148374,0.009546852111816407,0.0018700534876957705,0.5,1,1250,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 1250, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-113.96573041419506,-103.18339201791295,-110.56448563172955,-132.670296711857,-105.33853420583642,-113.14448779630621,10.476110012558589,9
10,4.078354072570801,0.2658433388158844,0.013644790649414063,0.0008100548687520344,0.5,3,1000,2,reg:absoluteerror,7656,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 1000, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-119.50026733587038,-106.08123374618134,-121.54719510699448,-131.080547047067,-110.23816903623961,-117.68948245447056,8.806304667105792,10
