,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.09127612113952636,0.0023686077951746666,0.004986763000488281,0.0015085314193777988,0.1,1,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.26096946135755,-87.53608286995293,-108.7165526497727,-121.98530978458741,-105.27455772495178,-105.55469449812446,11.012583999699743,1
11,0.14205875396728515,0.004378559659099852,0.003929615020751953,0.00010945287764081694,0.1,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.47675311130385,-87.07828655477434,-110.13062756599616,-121.37576150406383,-105.88012668142068,-105.78831108351179,11.078068020477778,2
9,0.03888359069824219,0.003987611379860766,0.004114818572998047,0.0008273736920089133,0.1,1,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-103.57549236514261,-87.99857678265265,-109.48378741442954,-122.75797560677101,-105.39566812301051,-105.84230005840126,11.163663081329966,3
5,0.5036335945129394,0.10856816316462736,0.007605886459350586,0.0013514698942744992,0.01,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-104.77858275675665,-88.28179950053718,-110.41337504394272,-122.95161253366413,-106.7589944381361,-106.63687285460738,11.142796535732625,4
12,0.06999897956848145,0.0035733955269100642,0.004168891906738281,0.0008045860833316316,0.1,3,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-105.0980594246494,-88.78791750342512,-111.03453704127955,-121.1423677846454,-107.3485651961591,-106.6822893900317,10.49950646502385,5
13,0.2113564968109131,0.019029710047289327,0.008997011184692382,0.005072726963154956,0.1,3,300,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-106.12815442613494,-87.94209261044958,-111.0376055479271,-120.95174119385186,-107.4455907297393,-106.70103690162054,10.72071775677067,6
14,0.334127140045166,0.0051577397423043635,0.007130146026611328,0.001516080742319718,0.1,3,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-106.12140437913786,-87.93430994592474,-111.85049435281518,-121.04101312833713,-107.88123910527294,-106.96569218229756,10.823312892721662,7
2,0.17985715866088867,0.04146956791616497,0.004093599319458008,0.0001409301397190155,0.01,1,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-105.57025109478441,-88.03913265395559,-110.43196769212086,-124.44128006914536,-107.07288648875401,-107.11110359975206,11.64026561146472,8
8,0.8556251525878906,0.12059119111478842,0.01185312271118164,0.0035116122220951746,0.01,5,500,2,reg:absoluteerror,7656,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-105.8371288649763,-88.51153700185709,-111.28466058634598,-123.47172826666429,-107.25965548895483,-107.2729420417597,11.247636337680278,9
15,0.11848888397216797,0.004949693038814955,0.004255485534667969,0.0005259677135668672,0.1,5,100,2,reg:absoluteerror,7656,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656}",-107.69097311387337,-89.4729137442957,-111.67458798936167,-123.07313716286026,-109.85560086053255,-108.3534425741847,10.83392015709913,10
