,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
260,0.22114968299865723,0.007439147752863737,0.004881381988525391,0.000912004537822313,0.7,0.1,1,500,2,reg:absoluteerror,7656,0.3,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.3}",-68.46951775797989,-70.7550888374548,-67.95539130380575,-69.81538191392198,-59.304192721615465,-67.25991450695558,4.098462989810428,1
261,0.25444841384887695,0.0053641089943774305,0.005666875839233398,0.0009117359967413848,0.7,0.1,1,500,2,reg:absoluteerror,7656,0.5,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.5}",-68.83966171762317,-71.07004085560584,-67.82731064914921,-69.83198136167088,-59.15879879855176,-67.34555867652017,4.231820682203758,2
262,0.24765658378601074,0.005419813893784052,0.005554008483886719,0.0007385400915209774,0.7,0.1,1,500,2,reg:absoluteerror,7656,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.7}",-69.14373180108635,-70.9314028846028,-67.90689175898493,-69.8560714932332,-59.17860363149167,-67.4033403138798,4.22828418681475,3
256,0.13395342826843262,0.003950195457965907,0.005083799362182617,0.0008972196782683796,0.7,0.1,1,300,2,reg:absoluteerror,7656,0.3,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.3}",-69.39809540253054,-70.69781321722193,-68.04068484159875,-70.13922862325694,-58.91108637769984,-67.43738169246161,4.355145813913437,4
191,0.19330625534057616,0.003951600997840964,0.005225086212158203,0.0006980350999455738,0.5,0.5,1,500,2,reg:absoluteerror,7656,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 1}",-68.06611226111661,-71.02734925946842,-67.57448573861227,-70.46810107042272,-60.07915289026039,-67.44304024397609,3.9148588157699713,5
298,0.24977803230285645,0.004488682359314058,0.005539798736572265,0.0012051943722784144,0.7,0.5,1,500,2,reg:absoluteerror,7656,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.7}",-68.47393367016028,-70.65575426537468,-67.91090680682356,-70.17286281289718,-60.21547116686294,-67.48578574442372,3.775810426736548,6
187,0.11833796501159669,0.00331178015873462,0.005094051361083984,0.0012034283527006017,0.5,0.5,1,300,2,reg:absoluteerror,7656,1,"{'colsample_bytree': 0.5, 'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 1}",-68.22720673515917,-71.3173058984148,-67.9038738316268,-70.30447241436441,-59.80813811804897,-67.51219939952283,4.056915790025836,7
257,0.1519242286682129,0.002579189759909966,0.004559469223022461,0.00039415079139360333,0.7,0.1,1,300,2,reg:absoluteerror,7656,0.5,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.5}",-69.54053429097488,-71.36703919867298,-68.00235189635289,-70.14938054077737,-58.888458896044526,-67.58955296456453,4.483478304890971,8
263,0.21942243576049805,0.004222438106587106,0.004815006256103515,0.00037762066776317793,0.7,0.1,1,500,2,reg:absoluteerror,7656,1,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 500, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 1}",-68.9783410752401,-71.52151923770269,-68.14750874045873,-70.03715380755318,-59.303935104523944,-67.59769159309573,4.2974943364745455,9
289,0.055180835723876956,0.0031868029652433426,0.00415949821472168,0.00035251353676392014,0.7,0.5,1,100,2,reg:absoluteerror,7656,0.5,"{'colsample_bytree': 0.7, 'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 100, 'n_jobs': 2, 'objective': 'reg:absoluteerror', 'random_state': 7656, 'subsample': 0.5}",-69.60068456862828,-72.04849710082343,-67.62306785799534,-70.4612195360114,-58.488609858054716,-67.64441578430264,4.79555087696438,10
